"cidade";"d";"h0";"h90";"h180";"h270"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9527,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9527,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9527,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9527,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9512,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9512,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9512,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9512,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9451,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9451,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9451,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2806,-46.9451,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9733,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9733,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9733,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9733,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9637,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9637,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9637,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9637,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9578,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9578,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9578,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9578,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9568,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9568,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9568,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9568,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9483,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9483,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9483,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9483,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9471,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9471,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9471,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9471,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9469,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9469,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9469,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2805,-46.9469,h270,p20,z1"
